id_tabungan,counter_tabungan,tanggal_nabung,nama_goal,target_nominal,nominal_nabung,total_terkumpul,sisa_target,status,keterangan
TAB-0002,9,2021-09-24,Beli iPad/Tablet Nugas,6240000.0,224622,1765953,4474047,Belum Selesai,Via ATM
tb_0003,1,2021-07-17,RAKIT PC GAMING,21710000.0,2129296,2129296,19580704,BELUM SELESAI,nan
TAB-0003,2,2021-08-03,Rakit PC Gaming,21710000.0,2126596,4255892,17454108,Belum Selesai,Via ATM
TAB-0003,3,2021-08-17,Rakit PC Gaming,2171000000.0,2218853,6474745,15235255,Belum Selesai,nan
TAB-0003,4,2021-09-03,Rakit PC Gaming,21710000.0,1979190,8453935,13256065,Belum Selesai,nan
TAB-0003,5,2021-09-10,Rakit PC Gaming,21710000.0,2327117,10781052,10928948,Belum Selesai,Cash
TAB - 0003,6,2021-09-28,Rakit PC Gaming,21710000.0,1897676,12678728,9031272,SELESAI,Via ATM
TAB-0003,7,Bulan lalu,   rakit pc gaming  ,21710000.0,2178034,14856762,6853238,Belum Selesai,Cash
TAB-0003,8,2021-11-07,Rakit PC Gaming,21710000.0,2268281,17125043,4584957,Belum Selesai,Cash
tb_0003,9,2021-11-15,Rakit PC Gaming,21710000.0,2139701 rupiah,19264744,2445256,Belum Selesai,Transfer
TAB-0003,10,2021-12-04,Rakit PC Gaming,21710000.0,2098837,21363581,346419,Belum Selesai,Via ATM
TAB-0003,11,2021-12-13,Rakit PC Gaming,21710000.0,346419,21710000,0,Selesai,nan
TAB - 0004,1,2020-04-12,Beli Mechanical Keyboard,2770000.0,261887,261887,2508113,Belum Selesai,Transfer
tb_0004,2,24/04/2020,   beli mechanical keyboard  ,2770000.0,236681 rupiah,498568,2271432,Blm selese,nan
TAB-0004,3,2020-05-16,   beli mechanical keyboard  ,2770000.0,286402,784970,1985030,Belum Selesai,Transfer
TAB - 0004,4,2020-06-13,   beli mechanical keyboard  ,2770000.0,263603,1048573,1721427,Belum Selesai,Via ATM
TAB-0004,5,2020-07-03,,2770000.0,289k,1338240,1431760,Belum Selesai,Transfer
tb_0004,6,2020-07-12,Beli Mechanical Keyboard,2770000.0,274136,1612376,1157624,selesai,Transfer
tb_0004,7,23/07/2020,BELI MECHANICAL KEYBOARD,2770000.0,307104,1919480,850520,Belum Selesai,nan
TAB-0004,8,03/08/2020,Beli Mechanical Keyboard,2770000.0,278627,2198107,571893,Belum Selesai,nan
TAB-0004,9,2020-08-30,,2770000.0,284076,2482183,287817,Belum Selesai,Via ATM
TAB-0004,10,2020-09-08,Beli Mechanical Keyboard,2770000.0,Rp. 282.860,2765043,4957,Belum Selesai,nan
TAB-0004,11,2020-10-09,BELI MECHANICAL KEYBOARD,2770000.0,4957,2770000,0,Selesai,nan
TAB-0005,1,2024-11-27,Modal Nikah/Tunangan,85780000.0,1510601,1510601,84269399,Belum Selesai,Via ATM
TAB-0005,2,2024-12-05,Modal Nikah/Tunangan,85780000.0,1607150,3117751,82662249,Belum Selesai,Transfer
TAB-0005,3,24/12/2024,MODAL NIKAH/TUNANGAN,85780000.0,1754403,4872154,80907846,Belum Selesai,nan
TAB-0005,4,2025-01-04,Modal Nikah/Tunangan,85780000.0,1509854,6382008,79397992,Belum Selesai,Cash
TAB-0006,1,2021-06-04,Monitor External,2180000.0,223118,223118,1956882,Blm selese,nan
TAB - 0006,2,2021-06-13,   monitor external  ,2180000.0,239907,463025,1716975,Belum Selesai,Transfer
TAB-0006,3,21/06/2021,Monitor External,2180000.0,235847,698872,1481128,SELESAI,nan
TAB-0006,4,2021-07-11,Monitor External,2180000.0,219813,918685,1261315,Belum Selesai,Via ATM
TAB-0006,5,2021-07-28,Monitor External,2180000.0,235994,1154679,1025321,Belum Selesai,Transfer
TAB - 0006,6,Lupa nyatet,Monitor External,2180000.0,230493 rupiah,1385172,794828,Belum Selesai,nan
TAB-0006,7,2021-08-17,Monitor External,2180000.0,226283,1611455,568545,Belum Selesai,Transfer
TAB-0006,8,2021-09-10,Monitor External,2180000.0,239973,1851428,328572,Belum Selesai,nan
TAB-0006,9,25-Sep-21,Monitor External,2180000.0,Rp. 185.275,2036703,143297,Belum Selesai,Cash
TAB-0006,10,2021-10-02,MONITOR EXTERNAL,2180000.0,143297,2180000,0,Selesai,Cash
TAB-0007,1,2021-09-29,Liburan ke Bali/Jogja,3160000.0,704916,704916,2455084,Belum Selesai,Cash
TAB-0007,2,22/10/2021,Liburan ke Bali/Jogja,3160000.0,702161,1407077,1752923,Belm Selesai,nan
TAB-0007,3,2021-10-31,Liburan ke Bali/Jogja,3160000.0,485679,1892756,1267244,Belum Selesai,Via ATM
TAB-0007,4,2021-11-12,,3160000.0,605143,2497899,662101,Belum Selesai,Cash
TAB-0008,1,2024-04-27,   modal nikah/tunangan  ,97510000.0,9941586,9941586,87568414,Belum Selesai,nan
TAB-0008,2,15-May-24,Modal Nikah/Tunangan,,9719713,19661299,77848701,Belum Selesai,nan
TAB-0008,3,2024-05-29,MODAL NIKAH/TUNANGAN,9751000000.0,9964618,29625917,67884083,Belum Selesai,Cash
TAB-0008,4,2024-06-26,MODAL NIKAH/TUNANGAN,97510000.0,9622783,39248700,58261300,Belum Selesai,Transfer
TAB-0008,5,18/07/2024,MODAL NIKAH/TUNANGAN,97510000.0,9359374,48608074,48901926,Selsai,Cash
TAB - 0008,6,2024-08-10,Modal Nikah/Tunangan,97510000.0,9884578,58492652,39017348,Belum Selesai,Cash
TAB-0008,7,2024-08-23,Modal Nikah/Tunangan,97510000.0,11013145,69505797,28004203,Belum Selesai,Transfer
TAB-0008,8,Bulan lalu,Modal Nikah/Tunangan,97510000.0,9979555,79485352,18024648,BELUM SELESAI,Via ATM
TAB - 0008,9,25/09/2024,Modal Nikah/Tunangan,97510000.0,9957847,89443199,8066801,Belum Selesai,Transfer
TAB-0008,10,2024-10-22,   modal nikah/tunangan  ,97510000.0,8066801,97510000,0,belum selesai,Transfer
TAB-0009,1,2024-09-06,MODAL NIKAH/TUNANGAN,,8487325 rupiah,8487325,77472675,Belum Selesai,nan
TAB-0009,2,2024-09-23,Modal Nikah/Tunangan,85960000.0,7408261,15895586,70064414,Belum Selesai,Transfer
TAB-0009,3,2024-10-13,Modal Nikah/Tunangan,85960000.0,7914185,23809771,62150229,Belum Selesai,nan
TAB-0009,4,2024-10-23,   modal nikah/tunangan  ,85960000.0,9595903,33405674,52554326,Belum Selesai,nan
TAB-0009,5,2024-11-18,Modal Nikah/Tunangan,85960000.0,8193620,41599294,44360706,Belum Selesai,Transfer
TAB-0009,6,2024-11-26,   modal nikah/tunangan  ,85960000.0,9341687,50940981,35019019,Belum Selesai,Cash
TAB-0010,1,2020-08-30,DANA DARURAT,15920000.0,1664832,1664832,14255168,Belum Selesai,Via ATM
TAB-0010,2,10/09/2020,Dana Darurat,15920000.0,1530859,3195691,12724309,Belum Selesai,Transfer
TAB-0010,3,2020-10-01,DANA DARURAT,15920000.0,1367342,4563033,11356967,belum selesai,nan
TAB-0010,4,2020-10-16,Dana Darurat,15920000.0,1551669,6114702,9805298,Belm Selesai,nan
TAB-0010,5,2020-11-16,Dana Darurat,15920000.0,1839605,7954307,7965693,Belum Selesai,Transfer
TAB-0010,6,2020-11-28,Dana Darurat,15920000.0,1407349,9361656,6558344,Belum Selesai,nan
TAB-0010,7,2020-12-07,   dana darurat  ,15920000.0,1607956,10969612,4950388,Belum Selesai,Via ATM
TAB-0010,8,2020-12-25,Dana Darurat,15920000.0,1576069,12545681,3374319,selesai,Via ATM
TAB - 0010,9,2021-01-06,Dana Darurat,15920000.0,1291754,13837435,2082565,Belum Selesai,nan
tb_0010,10,2021-02-03,Dana Darurat,15920000.0,1635503 rupiah,15472938,447062,Belum Selesai,nan
TAB-0010,11,2021-02-26,Dana Darurat,,447062,15920000,0,Selesai,Cash
TAB-0011,1,2022-03-03,Beli iPad/Tablet Nugas,7810000.0,1696558,1696558,6113442,Selsai,Transfer
TAB-0011,2,2022-03-25,,7810000.0,1531118,3227676,4582324,Belum Selesai,Transfer
TAB-0011,3,2022-04-23,   beli ipad/tablet nugas  ,7810000.0,1597140,4824816,2985184,Belum Selesai,Via ATM
TAB - 0011,4,Kemarin,Beli iPad/Tablet Nugas,7810000.0,1686589,6511405,1298595,Belum Selesai,Via ATM
TAB-0011,5,2022-06-24,   beli ipad/tablet nugas  ,7810000.0,1298595,7810000,0,Selesai,Via ATM
TAB-0012,1,10/10/2021,Modif Motor/Ganti Knalpot,2200000.0,89963,89963,2110037,Belum Selesai,Via ATM
TAB-0012,2,2021-10-29,Modif Motor/Ganti Knalpot,2200000.0,85219,175182,2024818,Belum Selesai,Cash
TAB-0012,3,Lupa nyatet,Modif Motor/Ganti Knalpot,2200000.0,120654,295836,1904164,Belum Selesai,nan
TAB-0012,4,2021-11-25,MODIF MOTOR/GANTI KNALPOT,2200000.0,94630,390466,1809534,belum selesai,nan
TAB-0012,5,2021-12-14,Modif Motor/Ganti Knalpot,,90218,480684,1719316,Belum Selesai,Cash
TAB-0012,6,07-Jan-22,Modif Motor/Ganti Knalpot,2200000.0,92260,572944,1627056,Belum Selesai,nan
TAB-0012,7,2022-01-18,Modif Motor/Ganti Knalpot,2200000.0,106704,679648,1520352,Belum Selesai,Cash
TAB - 0012,8,2022-02-04,Modif Motor/Ganti Knalpot,2200000.0,105077,784725,1415275,Belum Selesai,nan
TAB-0012,9,2022-02-26,   modif motor/ganti knalpot  ,2200000.0,117097,901822,1298178,Belum Selesai,nan
TAB-0012,10,2022-03-17,Modif Motor/Ganti Knalpot,220000000.0,107641,1009463,1190537,Belum Selesai,Transfer
TAB-0012,11,29/03/2022,Modif Motor/Ganti Knalpot,2200000.0,109363,1118826,1081174,Belum Selesai,Cash
TAB-0012,12,2022-04-29,Modif Motor/Ganti Knalpot,2200000.0,109559,1228385,971615,Belum Selesai,Transfer
TAB-0012,13,24/05/2022,Modif Motor/Ganti Knalpot,2200000.0,102157,1330542,869458,Belum Selesai,nan
TAB-0012,14,2022-06-08,Modif Motor/Ganti Knalpot,2200000.0,83477,1414019,785981,Belum Selesai,nan
TAB-0012,15,2022-06-23,Modif Motor/Ganti Knalpot,2200000.0,95636,1509655,690345,Belum Selesai,Transfer
TAB - 0012,16,2022-07-03,   modif motor/ganti knalpot  ,2200000.0,97374,1607029,592971,Belum Selesai,Transfer
TAB-0012,17,2022-07-21,MODIF MOTOR/GANTI KNALPOT,2200000.0,96688,1703717,496283,Belum Selesai,Cash
TAB - 0012,18,2022-08-10,Modif Motor/Ganti Knalpot,2200000.0,123474,1827191,372809,Belum Selesai,nan
TAB-0012,19,10/09/2022,Modif Motor/Ganti Knalpot,2200000.0,79006,1906197,293803,Belum Selesai,Transfer
tb_0012,20,2022-10-03,MODIF MOTOR/GANTI KNALPOT,2200000.0,106188,2012385,187615,Belum Selesai,Via ATM
TAB-0012,21,20-Oct-22,Modif Motor/Ganti Knalpot,2200000.0,111643,2124028,75972,selesai,nan
TAB-0012,22,2022-11-11,   modif motor/ganti knalpot  ,2200000.0,Rp. 75.972,2200000,0,Selesai,nan
TAB-0013,1,29-Mar-22,   liburan ke bali/jogja  ,5060000.0,56888,56888,5003112,SELESAI,Transfer
TAB - 0013,2,2022-04-13,,5060000.0,51214,108102,4951898,Belum Selesai,Via ATM
TAB-0013,3,2022-04-29,Liburan ke Bali/Jogja,5060000.0,60507,168609,4891391,Belum Selesai,Cash
TAB-0013,4,2022-05-23,LIBURAN KE BALI/JOGJA,5060000.0,51603,220212,4839788,Belum Selesai,Cash
TAB-0013,5,14/06/2022,Liburan ke Bali/Jogja,5060000.0,49441,269653,4790347,Belum Selesai,Transfer
TAB-0013,6,2022-07-04,Liburan ke Bali/Jogja,5060000.0,68901,338554,4721446,Belum Selesai,Cash
TAB-0013,7,15-Jul-22,Liburan ke Bali/Jogja,5060000.0,54803,393357,4666643,selesai,Via ATM
TAB-0014,1,2024-12-30,Modal Nikah/Tunangan,45570000.0,4080558,4080558,41489442,Belum Selesai,Via ATM
TAB-0014,2,2025-01-09,MODAL NIKAH/TUNANGAN,45570000.0,4667848,8748406,36821594,Belum Selesai,Cash
TAB-0014,3,2025-01-26,Modal Nikah/Tunangan,45570000.0,4387064,13135470,32434530,Belum Selesai,Via ATM
TAB-0014,4,2025-02-26,   modal nikah/tunangan  ,45570000.0,4388004,17523474,28046526,Belum Selesai,nan
TAB-0014,5,2025-03-11,Modal Nikah/Tunangan,45570000.0,5411318,22934792,22635208,Belum Selesai,nan
TAB-0014,6,2025-03-18,,45570000.0,5222880 rupiah,28157672,17412328,Belum Selesai,Cash
TAB-0014,7,2025-04-16,Modal Nikah/Tunangan,45570000.0,4425746,32583418,12986582,SELESAI,Cash
TAB-0014,8,12-May-25,Modal Nikah/Tunangan,45570000.0,Rp. 4.649.583,37233001,8336999,Belum Selesai,Via ATM
tb_0014,9,05/06/2025,Modal Nikah/Tunangan,45570000.0,4053k,41286618,4283382,Belum Selesai,Transfer
TAB-0014,10,2025-06-22,,45570000.0,4283382,45570000,0,Selesai,Cash
TAB - 0015,1,2022-06-04,Modal Nikah/Tunangan,24510000.0,2107642,2107642,22402358,Belum Selesai,nan
TAB - 0015,2,2022-06-25,Modal Nikah/Tunangan,24510000.0,2008268,4115910,20394090,Selsai,Cash
TAB-0015,3,2022-07-04,   modal nikah/tunangan  ,,2196098,6312008,18197992,Belum Selesai,Transfer
tb_0015,4,2022-08-02,Modal Nikah/Tunangan,24510000.0,2414254,8726262,15783738,Belum Selesai,Via ATM
TAB - 0015,5,2022-08-23,Modal Nikah/Tunangan,24510000.0,2599143,11325405,13184595,Belum Selesai,Cash
TAB-0015,6,2022-09-22,Modal Nikah/Tunangan,24510000.0,2170105,13495510,11014490,Belum Selesai,Via ATM
TAB - 0015,7,2022-10-08,MODAL NIKAH/TUNANGAN,24510000.0,2081467 rupiah,15576977,8933023,selesai,nan
TAB-0015,8,2022-10-28,Modal Nikah/Tunangan,24510000.0,2098889,17675866,6834134,Belum Selesai,Via ATM
TAB-0015,9,28-Nov-22,MODAL NIKAH/TUNANGAN,,2798374,20474240,4035760,selesai,nan
tb_0015,10,2022-12-21,Modal Nikah/Tunangan,24510000.0,2670608,23144848,1365152,Belum Selesai,Cash
TAB-0015,11,2023-01-14,Modal Nikah/Tunangan,24510000.0,1365152,24510000,0,Selesai,Transfer
TAB-0016,1,2020-07-17,Beli Hewan Qurban,3660000.0,1362919,1362919,2297081,Belum Selesai,nan
TAB-0016,2,2020-07-29,Beli Hewan Qurban,3660000.0,1460417,2823336,836664,Belum Selesai,Cash
TAB-0017,1,2024-11-18,MODAL NIKAH/TUNANGAN,87840000.0,7940650,7940650,79899350,Belum Selesai,Transfer
TAB - 0017,2,2024-12-02,Modal Nikah/Tunangan,87840000.0,8068438,16009088,71830912,Belum Selesai,Transfer
TAB-0017,3,2024-12-15,Modal Nikah/Tunangan,87840000.0,6849475 rupiah,22858563,64981437,Belum Selesai,Cash
tb_0018,1,2020-03-22,Dana Darurat,16270000.0,1770545,1770545,14499455,Belum Selesai,Via ATM
TAB-0018,2,2020-03-30,Dana Darurat,16270000.0,1574427,3344972,12925028,Belum Selesai,nan
TAB-0018,3,2020-04-23,DANA DARURAT,,1718k,5063190,11206810,Selsai,Cash
TAB-0018,4,2020-05-23,Dana Darurat,16270000.0,1808367,6871557,9398443,Belum Selesai,Via ATM
TAB-0018,5,17-Jun-20,Dana Darurat,16270000.0,1574616,8446173,7823827,Belum Selesai,nan
TAB - 0018,6,2020-07-11,Dana Darurat,16270000.0,1319428,9765601,6504399,Belum Selesai,Cash
TAB-0018,7,2020-07-28,Dana Darurat,16270000.0,1397928,11163529,5106471,Belum Selesai,Transfer
TAB - 0018,8,16/08/2020,Dana Darurat,16270000.0,1579827 rupiah,12743356,3526644,Belum Selesai,Via ATM
TAB-0018,9,2020-09-10,DANA DARURAT,,1525020,14268376,2001624,Belum Selesai,Cash
TAB-0018,10,2020-09-22,,16270000.0,1265487,15533863,736137,Belum Selesai,Transfer
TAB-0018,11,2020-09-29,Dana Darurat,16270000.0,736137,16270000,0,selesai,nan
TAB - 0019,1,2022-03-16,Modal Skripsi & Jilid,2020000.0,131737,131737,1888263,Belum Selesai,nan
TAB-0019,2,2022-04-03,Modal Skripsi & Jilid,2020000.0,173034,304771,1715229,Belum Selesai,nan
TAB-0019,3,2022-04-22,Modal Skripsi & Jilid,2020000.0,167533,472304,1547696,Belum Selesai,Via ATM
tb_0019,4,2022-05-16,,2020000.0,153285,625589,1394411,BELUM SELESAI,Transfer
TAB-0019,5,11-Jun-22,Modal Skripsi & Jilid,2020000.0,159k,784862,1235138,Belum Selesai,Via ATM
TAB - 0019,6,Kemarin,Modal Skripsi & Jilid,2020000.0,136041,920903,1099097,Belum Selesai,Via ATM
TAB-0019,7,2022-07-03,,2020000.0,132659,1053562,966438,Belum Selesai,Transfer
TAB-0019,8,2022-07-10,Modal Skripsi & Jilid,2020000.0,156707,1210269,809731,Belum Selesai,Via ATM
TAB-0019,9,2022-08-08,Modal Skripsi & Jilid,2020000.0,164992,1375261,644739,belum selesai,Via ATM
TAB-0019,10,2022-08-16,   modal skripsi & jilid  ,2020000.0,151361,1526622,493378,Belum Selesai,nan
TAB-0019,11,2022-08-26,Modal Skripsi & Jilid,2020000.0,155413,1682035,337965,Belum Selesai,Cash
TAB-0019,12,Lupa nyatet,Modal Skripsi & Jilid,2020000.0,148536,1830571,189429,Belum Selesai,nan
TAB-0019,13,2022-10-06,Modal Skripsi & Jilid,2020000.0,155791,1986362,33638,SELESAI,Cash
TAB-0019,14,14-Oct-22,Modal Skripsi & Jilid,2020000.0,33638,2020000,0,Selesai,Cash
TAB-0020,1,05/05/2020,Bayar Kosan Tahunan,13240000.0,1398686,1398686,11841314,Belum Selesai,nan
tb_0020,2,2020-05-19,Bayar Kosan Tahunan,13240000.0,1394093,2792779,10447221,Belum Selesai,nan
TAB-0020,3,2020-06-08,,13240000.0,1373k,4166351,9073649,Belum Selesai,Cash
TAB-0020,4,2020-06-16,,13240000.0,1293363,5459714,7780286,Belum Selesai,Cash
TAB-0020,5,2020-07-13,Bayar Kosan Tahunan,13240000.0,1622491,7082205,6157795,Belum Selesai,Cash
TAB-0020,6,27/07/2020,Bayar Kosan Tahunan,13240000.0,1549113,8631318,4608682,Belum Selesai,Cash
TAB - 0020,7,2020-08-14,,13240000.0,1477080 rupiah,10108398,3131602,Belum Selesai,Transfer
TAB-0020,8,23-Aug-20,Bayar Kosan Tahunan,,1245110,11353508,1886492,Belum Selesai,Transfer
tb_0020,9,2020-09-20,Bayar Kosan Tahunan,13240000.0,1368017,12721525,518475,Belum Selesai,Cash
TAB-0021,1,2021-10-21,   liburan ke bali/jogja  ,255000000.0,279576,279576,2270424,Belum Selesai,Cash
TAB-0021,2,2021-10-28,   liburan ke bali/jogja  ,2550000.0,263490,543066,2006934,Belum Selesai,Transfer
TAB - 0021,3,2021-11-17,   liburan ke bali/jogja  ,2550000.0,318590,861656,1688344,Belum Selesai,Via ATM
TAB-0021,4,2021-11-26,Liburan ke Bali/Jogja,2550000.0,248k,1109790,1440210,BELUM SELESAI,Cash
TAB-0021,5,14/12/2021,Liburan ke Bali/Jogja,2550000.0,218889,1328679,1221321,Belm Selesai,nan
tb_0021,6,2021-12-25,Liburan ke Bali/Jogja,255000000.0,274639,1603318,946682,Blm selese,Cash
TAB-0021,7,2022-01-05,LIBURAN KE BALI/JOGJA,2550000.0,291751 rupiah,1895069,654931,Blm selese,Transfer
TAB-0021,8,2022-01-13,   liburan ke bali/jogja  ,2550000.0,254372,2149441,400559,Belum Selesai,Via ATM
TAB-0021,9,2022-02-01,,2550000.0,294456,2443897,106103,Belum Selesai,nan
TAB-0021,10,2022-02-09,LIBURAN KE BALI/JOGJA,2550000.0,106103,2550000,0,Selesai,Cash
TAB-0022,1,2020-11-26,Sewa Server/VPS Tahunan,1740000.0,54778,54778,1685222,Belum Selesai,nan
TAB-0022,2,2020-12-12,Sewa Server/VPS Tahunan,1740000.0,58577,113355,1626645,selesai,Cash
TAB - 0022,3,2021-01-05,Sewa Server/VPS Tahunan,1740000.0,64865,178220,1561780,Belm Selesai,Via ATM
tb_0022,4,2021-02-03,Sewa Server/VPS Tahunan,1740000.0,59241,237461,1502539,Belum Selesai,Transfer
TAB-0022,5,2021-02-16,SEWA SERVER/VPS TAHUNAN,1740000.0,63317,300778,1439222,Belum Selesai,nan
TAB-0022,6,2021-03-08,Sewa Server/VPS Tahunan,1740000.0,57968,358746,1381254,Belum Selesai,Transfer
TAB - 0022,7,06/04/2021,SEWA SERVER/VPS TAHUNAN,,62523,421269,1318731,Belum Selesai,Cash
tb_0022,8,2021-04-25,Sewa Server/VPS Tahunan,1740000.0,52668,473937,1266063,Belum Selesai,Via ATM
TAB-0022,9,03-May-21,Sewa Server/VPS Tahunan,1740000.0,66k,540162,1199838,Belum Selesai,Transfer
TAB-0022,10,2021-05-24,Sewa Server/VPS Tahunan,1740000.0,48619,588781,1151219,Belum Selesai,nan
TAB-0022,11,2021-06-19,Sewa Server/VPS Tahunan,1740000.0,52075,640856,1099144,Belum Selesai,Via ATM
TAB-0022,12,2021-07-15,Sewa Server/VPS Tahunan,1740000.0,59279,700135,1039865,Belum Selesai,Transfer
TAB-0022,13,2021-08-11,Sewa Server/VPS Tahunan,1740000.0,82898 rupiah,783033,956967,Belum Selesai,nan
TAB-0022,14,2021-09-08,Sewa Server/VPS Tahunan,1740000.0,50509,833542,906458,Belum Selesai,Via ATM
TAB-0022,15,2021-09-20,Sewa Server/VPS Tahunan,174000000.0,58928,892470,847530,BELUM SELESAI,nan
TAB-0022,16,2021-10-05,,1740000.0,57907,950377,789623,Belum Selesai,Cash
TAB-0022,17,2021-10-25,,1740000.0,62816,1013193,726807,Belm Selesai,nan
TAB-0022,18,2021-11-06,Sewa Server/VPS Tahunan,1740000.0,57030,1070223,669777,BELUM SELESAI,nan
TAB-0022,19,2021-11-19,   sewa server/vps tahunan  ,1740000.0,63776,1133999,606001,Blm selese,Via ATM
tb_0022,20,2021-12-04,Sewa Server/VPS Tahunan,1740000.0,69400,1203399,536601,Belum Selesai,nan
TAB-0022,21,24/12/2021,SEWA SERVER/VPS TAHUNAN,1740000.0,69072,1272471,467529,Belum Selesai,nan
TAB-0022,22,17-Jan-22,Sewa Server/VPS Tahunan,1740000.0,57786,1330257,409743,Belum Selesai,Cash
TAB - 0022,23,2022-02-02,Sewa Server/VPS Tahunan,1740000.0,70539,1400796,339204,Belum Selesai,Transfer
TAB-0022,24,2022-02-28,,1740000.0,54097,1454893,285107,Belum Selesai,nan
TAB - 0022,25,2022-03-14,SEWA SERVER/VPS TAHUNAN,1740000.0,Rp. 59.662,1514555,225445,Belum Selesai,nan
TAB-0022,26,10-Apr-22,Sewa Server/VPS Tahunan,1740000.0,53198,1567753,172247,Belum Selesai,Transfer
TAB-0022,27,2022-04-29,Sewa Server/VPS Tahunan,1740000.0,53514,1621267,118733,Belum Selesai,Transfer
TAB-0022,28,26-May-22,Sewa Server/VPS Tahunan,1740000.0,56359,1677626,62374,Belum Selesai,nan
TAB-0022,29,2022-06-04,Sewa Server/VPS Tahunan,1740000.0,62374,1740000,0,Selesai,nan
tb_0023,1,2022-02-02,Naik Gunung (Semeru/Rinjani),1920000.0,1403k,1403356,516644,Belum Selesai,Via ATM
TAB-0023,2,2022-02-12,Naik Gunung (Semeru/Rinjani),1920000.0,516644,1920000,0,Selesai,Transfer
TAB-0024,1,2024-11-30,TANPA NAMA,85960000.0,8296241,8296241,77663759,selesai,Transfer
TAB-0024,2,2024-12-18,,85960000.0,7774694,16070935,69889065,Belum Selesai,nan
TAB-0024,3,27-Dec-24,Tanpa Nama,85960000.0,6973379,23044314,62915686,Belum Selesai,nan
TAB-0024,4,2025-01-14,Tanpa Nama,85960000.0,9041875,32086189,53873811,Belum Selesai,nan
TAB-0024,5,10-Feb-25,Tanpa Nama,85960000.0,7801981 rupiah,39888170,46071830,Belum Selesai,Transfer
TAB-0024,6,2025-03-13,Tanpa Nama,85960000.0,9571230,49459400,36500600,Blm selese,Cash
TAB-0024,7,2025-04-02,Tanpa Nama,85960000.0,9157900,58617300,27342700,Belum Selesai,Via ATM
TAB-0024,8,2025-04-24,Tanpa Nama,85960000.0,9181532,67798832,18161168,Belum Selesai,Via ATM
TAB-0024,9,2025-05-03,Tanpa Nama,85960000.0,9611465,77410297,8549703,Belum Selesai,Transfer
TAB-0025,1,2021-08-17,Modal Nikah/Tunangan,85780000.0,8618739,8618739,77161261,Belum Selesai,Cash
TAB-0025,2,2021-08-30,Modal Nikah/Tunangan,85780000.0,6513343,15132082,70647918,Belm Selesai,Cash
TAB-0025,3,20/09/2021,Modal Nikah/Tunangan,85780000.0,Rp. 9.176.193,24308275,61471725,BELUM SELESAI,Via ATM
TAB-0025,4,2021-10-04,MODAL NIKAH/TUNANGAN,85780000.0,9814348,34122623,51657377,Belum Selesai,nan
TAB-0026,1,2020-09-29,MODAL SKRIPSI & JILID,2100000.0,66802,66802,2033198,Belum Selesai,Cash
tb_0026,2,2020-10-26,MODAL SKRIPSI & JILID,2100000.0,53102,119904,1980096,Belum Selesai,Via ATM
TAB-0026,3,2020-11-25,Modal Skripsi & Jilid,2100000.0,55811,175715,1924285,Belum Selesai,Via ATM
TAB-0026,4,2020-12-21,Modal Skripsi & Jilid,2100000.0,63367,239082,1860918,Belum Selesai,Cash
TAB-0026,5,2020-12-28,Modal Skripsi & Jilid,2100000.0,69598,308680,1791320,Belum Selesai,Via ATM
