tanggal_nabung,nama_goal,target_nominal,nominal_nabung,total_terkumpul,sisa_target
11/30/2022,Modal Nikah/Tunangan,45570000,250000,24000000,21570000
6/28/2022,Modal Nikah/Tunangan,97510000,80000,5420000,92090000
5/23/2022,Beli iPad/Tablet Nugas,5300000,80000,2400000,2900000
10/23/2021,Modal Usaha Thrift/F&B,13260000,1800000,2030000,11230000
7/9/2022,Beli Laptop Skripsi,14870000,60000,9500000,5370000
2/15/2021,Beli Sepatu Sneakers/Running,720000,490000,720000,0
3/18/2022,,3230000,1000000,2410000,820000
4/12/2021,Bayar Kosan Tahunan,13940000,,13800000,140000
10/10/2022,Rakit PC Gaming,21690000,100000,13030000,8660000
10/31/2020,Dana Darurat,3350000,70000,1300000,2050000
5/6/2021,Modal Nikah/Tunangan,15510000,90000,3540000,11970000
7/31/2021,Beli Motor Bekas,7730000,900000,4240000,3490000
3/3/2022,,97510000,,1900000,95610000
11/6/2020,Liburan ke Bali/Jogja,4930000,70000,3520000,1410000
1/30/2022,Beli Sepeda Lipat/Fixie,2320000,90000,1000000,1320000
10/28/2020,Rakit PC Gaming,18880000,20000,5700000,13180000
1/31/2024,Modal Nikah/Tunangan,85780000,70000,41740000,44040000
6/26/2022,Rakit PC Gaming,17300000,200000,13620000,3680000
12/5/2020,Dana Darurat,15920000,50000,12390000,3530000
8/4/2020,Beli Mechanical Keyboard,1970000,-100000,270000,1700000
4/5/2020,Dana Darurat,16270000,800000,3500000,12770000
10/7/2020,Top Up Game (MLBB/Genshin/Valo),330000,40000,40000,290000
3/5/2022,Beli Kasur Busa/Springbed,1710000,90000,90000,1620000
9/5/2024,Modal Nikah/Tunangan,73480000,10000,57420000,16060000
12/20/2020,Traktir Temen Sidang/Wisuda,530000,180000,290000,240000
8/7/2020,Beli Emas Antam,6290000,30000,2890000,3400000
12/30/2020,Rakit PC Gaming,18880000,20000,13050000,5830000
6/16/2022,Beli iPad/Tablet Nugas,8920000,210000,7990000,930000
8/14/2020,Beli Sepatu Sneakers/Running,310000,190000,310000,0
2/9/2022,Beli Laptop Skripsi,11640000,30000,4820000,6820000
10/5/2020,Dana Darurat,6950000,800000,4930000,2020000
4/26/2022,Nabung Bayar Utang/Pinjol,4450000,170000,2220000,2230000
1/9/2024,Modal Nikah/Tunangan,45570000,340000,45570000,0
12/17/2020,,3950000,70000,1370000,2580000
5/12/2022,Upgrade HP Baru,3860000,80000,3380000,480000
1/29/2022,Servis Turun Mesin,2900000,1500000,2900000,0
9/29/2021,Bayar UKT Semester Depan,7500000,240000,1100000,6400000
2/5/2024,Modal Nikah/Tunangan,97510000,100000,38640000,58870000
3/9/2021,Bayar UKT Semester Depan,6160000,1600000,5390000,770000
2/22/2024,Modal Nikah/Tunangan,97510000,280000,39110000,58400000
3/20/2022,Kursus Bootcamp IT/Data Science,7900000,1700000,7160000,740000
3/16/2022,Staycation Bareng Temen,1080000,70000,350000,730000
1/25/2020,Traktir Temen Sidang/Wisuda,520000,40000,450000,70000
9/21/2020,Beli iPad/Tablet Nugas,9620000,600000,7880000,1740000
8/20/2021,DP Motor Baru,7040000,50000,5700000,1340000
5/22/2020,Liburan ke Bali/Jogja,4680000,30000,4550000,130000
6/29/2022,Modal Usaha Thrift/F&B,11710000,30000,7210000,4500000
2/13/2021,Beli TWS/Earphone,2130000,60000,1230000,900000
9/26/2020,Bayar UKT Semester Depan,4280000,20000,210000,4070000
10/1/2021,Beli Kamera Analog/Mirrorless,5830000,,5480000,350000
3/14/2022,Kado Hari Ibu/Ultah Ortu,2550000,30000,840000,1710000
6/22/2021,Modal Nikah/Tunangan,15510000,30000,6290000,9220000
5/5/2022,Beli Laptop Skripsi,10450000,250000,5340000,5110000
7/14/2021,Beli Domain & Hosting,300000,120000,210000,90000
11/3/2024,Modal Nikah/Tunangan,65260000,40000,60510000,4750000
2/5/2022,,1080000,230000,240000,840000
10/27/2021,Dana Darurat,13410000,280000,1940000,11470000
8/9/2020,Dana Darurat,16270000,1700000,14470000,1800000
4/23/2025,Modal Nikah/Tunangan,97510000,250000,69210000,28300000
9/25/2020,Beli Emas Antam,8810000,1300000,7590000,1220000
5/1/2024,Modal Nikah/Tunangan,93000000,70000,57990000,35010000
11/7/2020,Bayar Kosan Tahunan,8200000,,2500000,5700000
4/12/2025,Modal Nikah/Tunangan,93000000,,81540000,11460000
3/22/2024,,87840000,10000,55000000,32840000
1/24/2024,Modal Nikah/Tunangan,32780000,10000,22480000,10300000
2/15/2022,Bayar Kosan Tahunan,17290000,60000,13730000,3560000
8/29/2022,Modal Nikah/Tunangan,32780000,700000,13650000,19130000
6/5/2021,Dana Darurat,9720000,-100000,70000,9650000
2/25/2024,Modal Nikah/Tunangan,45570000,,31310000,14260000
12/15/2021,Liburan ke Bali/Jogja,6910000,80000,5240000,1670000
2/1/2022,Modal Usaha Thrift/F&B,8610000,2000000,4240000,4370000
8/24/2025,Modal Nikah/Tunangan,93000000,900000,91110000,1890000
6/9/2022,,4020000,240000,3950000,70000
10/1/2021,Dana Darurat,19490000,120000,13510000,5980000
1/4/2024,Modal Nikah/Tunangan,73480000,10000,34610000,38870000
8/6/2025,Modal Nikah/Tunangan,89990000,,86160000,3830000
9/21/2020,Beli Motor Bekas,14020000,270000,11180000,2840000
8/30/2020,Tiket Konser K-Pop/Lokal,2130000,30000,1150000,980000
5/17/2022,Modal Nikah/Tunangan,85780000,110000,28640000,57140000
11/14/2020,Rakit PC Gaming,18880000,30000,7750000,11130000
9/28/2020,Beli Emas Antam,8810000,80000,7670000,1140000
6/3/2021,Kado Hari Ibu/Ultah Ortu,2490000,110000,2490000,0
10/19/2021,Upgrade RAM & SSD,1820000,1200000,1480000,340000
1/3/2022,,370000,370000,370000,0
4/28/2024,Modal Nikah/Tunangan,97510000,180000,46080000,51430000
10/12/2021,Liburan ke Bali/Jogja,2550000,20000,520000,2030000
2/26/2022,Beli Action Figure/Gunpla,2980000,,2230000,750000
8/26/2020,Bayar UKT Semester Depan,2200000,80000,1400000,800000
3/9/2021,Beli iPad/Tablet Nugas,9770000,30000,7030000,2740000
5/19/2020,Beli Magic Com & Dispenser,540000,100000,400000,140000
6/18/2024,Modal Nikah/Tunangan,45570000,70000,36280000,9290000
5/25/2020,Beli Kamera Analog/Mirrorless,7890000,70000,7550000,340000
12/15/2020,Beli Motor Bekas,12660000,40000,5610000,7050000
3/25/2020,Beli Kamera Analog/Mirrorless,7890000,30000,3730000,4160000
12/20/2021,Langganan Netflix/Spotify Tahunan,320000,120000,320000,0
2/21/2021,Beli iPad/Tablet Nugas,10440000,1000000,1160000,9280000
2/22/2022,Beli Sepeda Lipat/Fixie,1880000,70000,320000,1560000
11/2/2021,Liburan ke Bali/Jogja,3160000,600000,3150000,10000
1/23/2020,Beli Raket Badminton/Sepatu Futsal,1410000,260000,500000,910000
2/20/2022,Beli Emas Antam,3180000,300000,2360000,820000
3/3/2022,Kado Hari Ibu/Ultah Ortu,2510000,800000,2510000,0
4/26/2020,Beli Motor Bekas,12800000,20000,8110000,4690000
2/22/2022,Beli Mechanical Keyboard,2190000,290000,2100000,90000
11/15/2020,Modal Usaha Thrift/F&B,14340000,20000,7280000,7060000
6/4/2020,Beli Kasur Busa/Springbed,670000,50000,50000,620000
3/2/2022,Beli Sepatu Sneakers/Running,1370000,850000,1370000,0
2/11/2022,Nabung Bayar Utang/Pinjol,1710000,10000,170000,1540000
9/3/2020,Beli Laptop Skripsi,6570000,40000,2530000,4040000
2/13/2022,,6750000,90000,4490000,2260000
2/7/2020,Top Up Game (MLBB/Genshin/Valo),630000,80000,80000,550000
5/26/2021,Liburan ke Bali/Jogja,6400000,10000,6100000,300000
5/13/2024,Modal Nikah/Tunangan,45570000,900000,34020000,11550000
3/7/2023,,97510000,130000,91670000,5840000
8/25/2020,Upgrade HP Baru,11520000,140000,2410000,9110000
11/30/2025,Modal Nikah/Tunangan,97510000,10000,85870000,11640000
10/2/2021,Tiket Konser K-Pop/Lokal,4620000,220000,2540000,2080000
6/9/2020,Kado Hari Ibu/Ultah Ortu,2860000,80000,180000,2680000
2/28/2020,Nabung Bayar Utang/Pinjol,720000,10000,310000,410000
9/11/2020,Beli iPad/Tablet Nugas,4580000,70000,1210000,3370000
1/8/2024,Modal Nikah/Tunangan,73480000,10000,34620000,38860000
1/5/2022,Beli Kipas Angin/AC Portable,1410000,10000,10000,1400000
3/3/2020,,6220000,30000,3740000,2480000
4/27/2022,Upgrade HP Baru,6370000,120000,5670000,700000
4/6/2022,Bayar UKT Semester Depan,5140000,1100000,4930000,210000
3/15/2020,Beli Motor Bekas,12800000,90000,3920000,8880000
7/23/2020,Bayar Kosan Tahunan,13940000,270000,600000,13340000
1/29/2021,Beli Motor Bekas,12310000,180000,1910000,10400000
3/8/2020,Beli Motor Bekas,12800000,900000,3830000,8970000
6/12/2020,Beli Laptop Skripsi,14420000,1900000,4140000,10280000
1/25/2022,Ganti Ban Depan Belakang,1030000,50000,310000,720000
10/6/2021,Kado Hari Ibu/Ultah Ortu,1620000,30000,870000,750000
8/17/2020,Monitor External,2940000,370000,2940000,0
11/20/2020,,1340000,50000,770000,570000
11/19/2021,,1790000,99999999,1250000,540000
1/20/2020,Traktir Temen Sidang/Wisuda,520000,20000,330000,190000
10/26/2021,Dana Darurat,14380000,80000,11990000,2390000
5/16/2021,Dana Darurat,19490000,200000,3730000,15760000
11/6/2020,Upgrade HP Baru,11180000,60000,60000,11120000
3/8/2021,Bayar Kosan Tahunan,8200000,60000,7900000,300000
2/2/2022,DP Motor Baru,4460000,,3200000,1260000
6/17/2021,DP Motor Baru,3440000,10000,340000,3100000
4/26/2020,Beli Motor Bekas,8210000,1500000,8140000,70000
2/22/2022,Beli Sepeda Lipat/Fixie,2320000,40000,1450000,870000
9/24/2021,Outfit Wisuda/Kondangan,410000,90000,290000,120000
8/2/2020,Beli iPad/Tablet Nugas,9250000,,2270000,6980000
10/26/2021,Modal Nikah/Tunangan,73480000,2000000,12340000,61140000
2/5/2021,Beli iPad/Tablet Nugas,11250000,160000,10210000,1040000
7/20/2021,Upgrade HP Baru,13540000,40000,10720000,2820000
12/24/2021,Bayar Kosan Tahunan,13230000,30000,10140000,3090000
8/21/2020,Beli Helm Fullface/Cargloss,1320000,40000,540000,780000
9/29/2020,,2010000,80000,630000,1380000
7/6/2024,Modal Nikah/Tunangan,87840000,80000,60680000,27160000
3/8/2022,Modal Nikah/Tunangan,97510000,100000,2000000,95510000
2/5/2020,Naik Gunung (Semeru/Rinjani),2160000,90000,1740000,420000
1/5/2021,Kado Ultah Pacar,500000,50000,70000,430000
4/12/2022,DP Motor Baru,4930000,,4310000,620000
2/19/2021,Beli Emas Antam,1110000,760000,1110000,0
10/7/2020,Beli Emas Antam,8810000,120000,7960000,850000
7/21/2024,Modal Nikah/Tunangan,85960000,,54420000,31540000
2/8/2020,Beli Game Steam/PS,1450000,1300000,1300000,150000
10/25/2020,Dana Darurat,15920000,20000,11670000,4250000
8/17/2021,,10440000,,10180000,260000
2/21/2022,Beli Kamera Analog/Mirrorless,6510000,60000,2540000,3970000
3/20/2022,Modif Motor/Ganti Knalpot,2920000,80000,710000,2210000
9/7/2020,Monitor External,3990000,80000,80000,3910000
4/16/2022,Beli Action Figure/Gunpla,1520000,99999999,1520000,0
12/22/2024,Modal Nikah/Tunangan,87840000,60000,49770000,38070000
6/11/2024,Modal Nikah/Tunangan,73480000,1600000,44940000,28540000
5/3/2020,Modal Nikah/Tunangan,15350000,-100000,2630000,12720000
5/3/2022,Beli Emas Antam,5160000,60000,3520000,1640000
1/17/2022,Kursus Bootcamp IT/Data Science,7390000,40000,260000,7130000
3/15/2022,Uang Kondangan Temen,500000,220000,280000,220000
2/8/2022,Bayar UKT Semester Depan,3590000,800000,950000,2640000
2/24/2022,Sewa Server/VPS Tahunan,2240000,1530000,2240000,0
4/26/2021,Bayar UKT Semester Depan,3250000,-100000,580000,2670000
3/23/2021,Beli Emas Antam,5950000,70000,2460000,3490000
2/15/2022,Modif Motor/Ganti Knalpot,2810000,60000,1250000,1560000
8/24/2021,,670000,10000,430000,240000
5/6/2022,Beli iPad/Tablet Nugas,10820000,1500000,9370000,1450000
12/10/2020,Bayar Kosan Tahunan,7820000,20000,470000,7350000
4/12/2021,DP Motor Baru,7010000,300000,2740000,4270000
10/29/2021,Liburan ke Bali/Jogja,3160000,10000,2550000,610000
5/23/2022,Modal Nikah/Tunangan,85780000,180000,28840000,56940000
1/15/2024,Rakit PC Gaming,21690000,1700000,18910000,2780000
1/7/2021,Beli Motor Bekas,12660000,60000,7920000,4740000
7/25/2021,Modal Nikah/Tunangan,85780000,20000,11350000,74430000
6/10/2021,Monitor External,2180000,140000,360000,1820000
10/24/2020,Modal Usaha Thrift/F&B,14340000,1600000,6700000,7640000
3/22/2022,Beli iPad/Tablet Nugas,7160000,800000,4070000,3090000
2/23/2022,Tiket Konser K-Pop/Lokal,4390000,,4390000,0
3/15/2022,Beli Emas Antam,5160000,,660000,4500000
3/7/2022,Beli Domain & Hosting,230000,90000,230000,0
12/28/2024,Modal Nikah/Tunangan,87840000,240000,50010000,37830000
2/12/2022,Traktir Temen Sidang/Wisuda,860000,70000,130000,730000
5/2/2024,Modal Nikah/Tunangan,32780000,10000,28410000,4370000
6/7/2022,Bayar Kosan Tahunan,16660000,500000,7380000,9280000
8/19/2020,Tiket Konser K-Pop/Lokal,2130000,,1110000,1020000
9/15/2021,Beli iPad/Tablet Nugas,7720000,80000,280000,7440000
4/28/2024,Modal Nikah/Tunangan,85960000,-100000,69340000,16620000
9/26/2020,Rakit PC Gaming,21100000,110000,910000,20190000
9/28/2021,Beli Kamera Analog/Mirrorless,5830000,90000,3880000,1950000
8/22/2021,DP Motor Baru,7950000,,6860000,1090000
7/10/2024,Modal Nikah/Tunangan,45570000,,36640000,8930000
8/29/2021,Beli iPad/Tablet Nugas,9500000,,6800000,2700000
6/24/2020,Beli TWS/Earphone,1490000,50000,1280000,210000
11/23/2021,Beli iPad/Tablet Nugas,8520000,1300000,1490000,7030000
2/7/2022,Monitor External,3170000,220000,2220000,950000
3/14/2022,Servis Turun Mesin,2840000,600000,880000,1960000
2/3/2021,Liburan ke Bali/Jogja,6400000,-100000,190000,6210000
4/4/2021,Dana Darurat,19490000,30000,30000,19460000
3/6/2022,,10200000,1500000,1500000,8700000
8/8/2020,Tiket DWP / Pestapora,930000,270000,330000,600000
1/17/2022,Sewa Server/VPS Tahunan,980000,240000,510000,470000
11/2/2021,Beli TWS/Earphone,510000,90000,90000,420000
7/6/2020,Beli Motor Bekas,12800000,50000,12510000,290000
2/1/2020,Beli Motor Bekas,12800000,10000,1940000,10860000
3/13/2020,Beli Motor Bekas,9820000,80000,490000,9330000
3/6/2022,,770000,750000,770000,0
5/11/2022,Beli iPad/Tablet Nugas,7810000,90000,5500000,2310000
3/17/2022,Dana Darurat,12120000,220000,7000000,5120000
4/27/2021,Beli Hewan Qurban,2590000,80000,1870000,720000
1/21/2024,Modal Nikah/Tunangan,65260000,60000,47910000,17350000
7/1/2020,Ganti Ban Depan Belakang,850000,,850000,0
2/20/2020,Kursus Bootcamp IT/Data Science,5290000,70000,440000,4850000
10/13/2021,Dekor Kamar Estetik,800000,80000,600000,200000
8/17/2021,Upgrade HP Baru,13540000,60000,11330000,2210000
3/27/2022,Beli Laptop Skripsi,7920000,280000,7210000,710000
5/3/2025,Modal Nikah/Tunangan,93000000,100000,82750000,10250000
9/10/2022,Modal Nikah/Tunangan,85960000,600000,36250000,49710000
3/29/2022,Liburan ke Bali/Jogja,5060000,60000,2000000,3060000
12/24/2022,Modal Nikah/Tunangan,85960000,50000,41460000,44500000
1/2/2021,Staycation Bareng Temen,1250000,260000,260000,990000
8/10/2024,,97510000,180000,27400000,70110000
9/30/2022,Modal Nikah/Tunangan,85780000,100000,35720000,50060000
1/5/2022,Modal Nikah/Tunangan,93000000,40000,320000,92680000
10/8/2020,DP Motor Baru,5430000,100000,1430000,4000000
1/23/2024,Modal Nikah/Tunangan,32780000,70000,22470000,10310000
7/20/2021,Beli Game Steam/PS,1090000,270000,450000,640000
5/3/2021,Tiket Konser K-Pop/Lokal,950000,300000,950000,0
6/14/2024,Modal Nikah/Tunangan,85780000,80000,52490000,33290000
11/7/2021,Modal Nikah/Tunangan,85960000,1900000,17990000,67970000
11/7/2021,Beli Emas Antam,9690000,60000,60000,9630000
1/23/2025,Modal Nikah/Tunangan,89990000,10000,70090000,19900000
11/26/2020,Sewa Server/VPS Tahunan,1740000,60000,700000,1040000
5/18/2022,Beli iPad/Tablet Nugas,5300000,40000,2320000,2980000
4/10/2024,Modal Nikah/Tunangan,89990000,200000,58850000,31140000
9/7/2021,DP Motor Baru,3220000,390000,3220000,0
6/25/2022,Beli Motor Bekas,8770000,110000,6820000,1950000
7/28/2020,Upgrade HP Baru,8570000,40000,7710000,860000
4/6/2024,Modal Nikah/Tunangan,45570000,20000,31920000,13650000
4/4/2022,Nabung Bayar Utang/Pinjol,3570000,190000,3170000,400000
9/12/2020,Modal Skripsi & Jilid,2100000,230000,410000,1690000
5/1/2022,Modal Nikah/Tunangan,24510000,230000,9730000,14780000
6/16/2024,Modal Nikah/Tunangan,85780000,,80920000,4860000
5/16/2022,Modal Nikah/Tunangan,32780000,220000,6350000,26430000
5/12/2020,Beli Laptop Skripsi,6410000,10000,3870000,2540000
5/20/2020,Modal Nikah/Tunangan,15350000,60000,4860000,10490000
2/3/2022,Beli Emas Antam,9690000,70000,4810000,4880000
7/6/2020,Beli Emas Antam,8200000,240000,3830000,4370000
6/2/2020,Modif Motor/Ganti Knalpot,2420000,60000,60000,2360000
4/27/2022,Beli iPad/Tablet Nugas,5300000,900000,2060000,3240000
12/30/2024,Modal Nikah/Tunangan,45570000,250000,45120000,450000
7/21/2022,Modal Nikah/Tunangan,85780000,220000,33030000,52750000
9/29/2020,Monitor External,3460000,10000,460000,3000000
9/5/2024,Modal Nikah/Tunangan,93000000,50000,44630000,48370000
7/16/2020,Dana Darurat,11370000,40000,2510000,8860000
6/11/2022,DP Motor Baru,7430000,160000,4300000,3130000
3/2/2022,Beli Kamera Analog/Mirrorless,2820000,450000,2820000,0
9/25/2021,Modal Nikah/Tunangan,73480000,1000000,9220000,64260000
9/9/2021,Beli iPad/Tablet Nugas,10990000,30000,10720000,270000
1/4/2022,Nabung Bayar Utang/Pinjol,3870000,10000,10000,3860000
3/20/2020,Modal Usaha Thrift/F&B,9220000,,420000,8800000
1/21/2022,,2030000,600000,1080000,950000
10/11/2021,Modal Usaha Thrift/F&B,13760000,2000000,3280000,10480000
9/28/2021,DP Motor Baru,6820000,90000,2730000,4090000
6/14/2021,Beli Laptop Skripsi,8240000,220000,7420000,820000
10/31/2021,Liburan ke Bali/Jogja,2550000,800000,1850000,700000
8/28/2020,,9620000,280000,3910000,5710000
7/12/2022,Liburan ke Bali/Jogja,6050000,30000,5930000,120000
1/28/2022,Modif Motor/Ganti Knalpot,2030000,510000,2030000,0
3/2/2022,Beli Kamera Analog/Mirrorless,8540000,50000,2110000,6430000
11/4/2020,Kado Ultah Pacar,1240000,500000,500000,740000
11/2/2021,Beli Motor Bekas,11200000,,5250000,5950000
6/22/2022,Modal Nikah/Tunangan,89990000,-100000,7190000,82800000
10/3/2020,Bayar Kosan Tahunan,7160000,600000,600000,6560000
7/5/2021,,9010000,150000,150000,8860000
4/5/2021,Beli Laptop Skripsi,5770000,240000,4120000,1650000
11/16/2020,Modal Skripsi & Jilid,2320000,80000,1230000,1090000
1/12/2022,,9690000,1100000,4520000,5170000
6/29/2022,Modal Nikah/Tunangan,65260000,80000,8060000,57200000
8/30/2021,Tiket Konser K-Pop/Lokal,4620000,800000,1240000,3380000
7/24/2021,Beli Game Steam/PS,1090000,600000,1050000,40000
1/9/2020,Outfit Wisuda/Kondangan,1390000,10000,710000,680000
12/5/2021,Langganan Netflix/Spotify Tahunan,320000,,70000,250000
3/2/2020,Nabung Bayar Utang/Pinjol,720000,20000,330000,390000
1/3/2022,DP Motor Baru,4930000,10000,10000,4920000
9/24/2021,Tas Ransel Eiger/Consina,730000,10000,280000,450000
9/27/2021,Beli iPad/Tablet Nugas,7720000,50000,530000,7190000
9/23/2021,DP Motor Baru,3430000,100000,1630000,1800000
8/12/2021,Beli Meja Belajar Lipat,240000,180000,240000,0
3/22/2020,Beli Motor Bekas,8210000,30000,4260000,3950000
3/3/2024,Modal Nikah/Tunangan,73480000,30000,35930000,37550000
8/2/2021,Ganti Ban Depan Belakang,670000,70000,70000,600000
2/12/2022,Tiket DWP / Pestapora,960000,50000,100000,860000
6/27/2022,Bayar Kosan Tahunan,15130000,70000,9110000,6020000
9/18/2020,,2200000,,1780000,420000
9/22/2020,Bayar Kosan Tahunan,13240000,90000,8790000,4450000
8/11/2021,Beli Raket Badminton/Sepatu Futsal,570000,70000,280000,290000
7/15/2020,Beli Laptop Skripsi,14420000,190000,6160000,8260000
4/1/2022,Beli Emas Antam,8800000,,5570000,3230000
11/8/2021,Beli Domain & Hosting,740000,30000,70000,670000
1/17/2022,Modal Usaha Thrift/F&B,13760000,240000,8880000,4880000
12/28/2020,Bayar Kosan Tahunan,13240000,20000,12760000,480000
9/5/2021,Modal Nikah/Tunangan,85960000,,10930000,75030000
1/9/2024,Modal Nikah/Tunangan,85960000,100000,63390000,22570000
7/20/2024,Modal Nikah/Tunangan,45570000,40000,36720000,8850000
10/29/2020,Kado Hari Ibu/Ultah Ortu,2010000,50000,1250000,760000
2/5/2022,Liburan ke Bali/Jogja,6910000,200000,6910000,0
2/7/2022,Beli Domain & Hosting,530000,170000,220000,310000
2/1/2022,Modal Nikah/Tunangan,85780000,250000,21550000,64230000
4/18/2021,Beli Emas Antam,2930000,10000,130000,2800000
10/16/2021,Modal Nikah/Tunangan,87840000,1500000,4020000,83820000
2/11/2022,Beli Kamera Analog/Mirrorless,7430000,30000,4050000,3380000
3/1/2022,Sewa Server/VPS Tahunan,2290000,270000,2290000,0
7/11/2021,Tiket DWP / Pestapora,2290000,80000,1420000,870000
10/23/2021,Upgrade RAM & SSD,1900000,180000,630000,1270000
6/12/2021,Dana Darurat,9720000,,80000,9640000
4/25/2021,Rakit PC Gaming,21710000,800000,1510000,20200000
1/15/2021,Tiket DWP / Pestapora,1550000,1100000,1370000,180000
4/22/2021,Beli Hewan Qurban,2590000,70000,1790000,800000
1/20/2022,Beli Kamera Analog/Mirrorless,5860000,80000,3920000,1940000
2/8/2022,Beli Helm Fullface/Cargloss,1140000,260000,860000,280000
7/11/2021,Beli Hewan Qurban,4960000,40000,1400000,3560000
3/27/2022,Beli Motor Bekas,9460000,1900000,6680000,2780000
5/9/2021,Beli Motor Bekas,12310000,,8710000,3600000
9/29/2021,Dana Darurat,14380000,10000,8650000,5730000
5/5/2022,,45570000,10000,8440000,37130000
3/8/2020,Beli Sepatu Sneakers/Running,630000,100000,100000,530000
10/20/2020,Dana Darurat,6950000,70000,5250000,1700000
2/18/2023,Modal Nikah/Tunangan,97510000,190000,91240000,6270000
2/14/2022,Beli Domain & Hosting,530000,90000,530000,0
4/28/2022,,14870000,180000,1830000,13040000
5/10/2020,Dana Darurat,11370000,20000,60000,11310000
7/1/2022,Rakit PC Gaming,17300000,20000,13670000,3630000
12/24/2020,,1520000,1350000,1520000,0
2/2/2020,Modal Skripsi & Jilid,1320000,40000,1130000,190000
12/6/2022,Modal Nikah/Tunangan,89990000,1800000,20340000,69650000
8/23/2020,,16270000,,15610000,660000
12/11/2021,Modal Usaha Thrift/F&B,13260000,,10310000,2950000
4/24/2022,,7030000,90000,3150000,3880000
